scheme,category,is_number,title,qco_order,mandatory_status,certifying_body
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 302-2-25,Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 25 Microwave ovens,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 302-2:26,Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 26 Clocks,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16242 (Part 1),General and Safety Requirements for UPS,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 15885 (Part 2/Sec 13),Safety of Lamp Control gear Part 2 Particular Requirements Section 13 d.c. or a.c. Supplied Electronic Control gear for LED Modules,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16046,"Secondary Cells and Batteries containing Alkaline or other non-acid Electrolytes-Safety Requirements for Portable sealed secondary cells, and for Batteries made from them for use in portable applications",Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16102(Part 1),Self-Ballasted LED Lamps for General Lighting Services Part 1 Safety Requirements,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16333 (Part-3),Mobile Phone Handsets Part 3 Indian Language Support for Mobile Phone Handsets – Specific Requirements,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 10322 (Part 5/Section 2): 2012,Luminaires Part 5: Particular Requirements Section 2 Recessed Luminaires,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 10322 (Part 5/Section 3): 2012,Luminaires – Part 5: Particular Requirements Section 3 Luminaires for Road and Street Lighting,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 10322 (Part 5/Section 5): 2013,Luminaires – Part 5: Particular Requirements Section 5 Flood Lights,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 10322 (Part 5/Section 6): 2013,Luminaires – Part 5: Particular Requirements Section 6 Hamp Lamps,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 10322 (Part 5/Section 7): 2013,Luminaires – Part 5: Particular Requirements Section 7 Lighting Chains,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 10322 (Part 5/Section 8): 2013,Luminaires – Part 5: Particular Requirements Section 8 Luminaires for Emergency Lighting,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16242 (Part 1):2014,General and Safety Requirements for UPS,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 302 (Part 1): 2008,Safety of Household and similar electrical appliances Part 1 General requirements,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16103 (Part 1): 2012,LED modules for general lighting: Part 1 safety requirements,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 10322 (Part 5)Section 9: 2017,Luminaries: Part 5 Particular Requirements Section 9 Rope Lights,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
