scheme,category,is_number,title,qco_order,mandatory_status,certifying_body
Scheme-I (ISI Mark),Cement and Building Materials,IS 12330,Sulphate Resisting Portland Cement,General Quality Control Order,MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 12600,Low heat Portland Cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 1489 (Part 1),Portland Pozzolana Cement-Part1 Fly-ash based,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 1489 (Part 2),Portland Pozzolana Cement-Part 2 Calcined clay based,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 269,Ordinary Portland Cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 3466,Masonry Cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 455,Portland Slag Cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 6452,High Alumina Cement for Structural use,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 6909,Super sulphated cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 8041,Rapid hardening Portland cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 8042,White Portland Cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 8043,Hydrophobic Portland Cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 8229,Oil well Cement,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 16415: 2015,Composite Cement- Specification.,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 16993: 2018,Microfine Ordinary Portland Cement- Specification.,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 15895: 2018,High Alumina Refractory Cement.,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),Cement and Building Materials,IS 12640 (Part 1),Residual current operated circuit breakers for house hold and,"1. Cement (Quality Control)Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),"Electrical Wires, Cables & Appliances",IS 12640 (Part 2),Residual current operated circuit breakers for household and,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),"Electrical Wires, Cables & Appliances",IS 13010,"AC watt-hour meters, class 0.5, 1 & 2","2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
Scheme-I (ISI Mark),"Electrical Wires, Cables & Appliances",IS 13779,"AC static watt-hour meters, class 1 & 2","2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003",MANDATORY_UNDER_QCO,Bureau of Indian Standards (BIS)
